INEGI. IX Censo Ejidal 2007,,,,,
Total de ejidos y comunidades segun cuenten con grupos para la produccion,,,,,cuadro 33
y ejidatarios participantes por entidad federativa y municipio,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,con_grupos_para_la_produccion_total,con_grupos_para_la_produccion_ejidatarios_participantes_total,con_grupos_para_la_produccion_ejidatarios_participantes_mujeres,sin_grupos_para_la_produccion
Estados Unidos Mexicanos, 31 514, 3 211, 174 957, 28 938, 28 303
Aguascalientes,187,31, 1 134,111,156
Aguascalientes,41,10,258,19,31
Asientos,34,9,291,43,25
Calvillo,8,1,20,2,7
Cosío,8,5,371,24,3
Jesus María,14,0,0,0,14
Pabellon de Arteaga,9,2,20,2,7
Rincon de Romos,13,1,85,15,12
San Jose de Gracia,10,0,0,0,10
Tepezala ,15,1,19,2,14
El Llano,24,2,70,4,22
San Francisco de los Romo,11,0,0,0,11
Baja California,240,28,789,152,212
Ensenada,97,19,551,102,78
Mexicali,119,6,134,20,113
Tecate,13,3,104,30,10
Tijuana,6,0,0,0,6
Playas de Rosarito,5,0,0,0,5
Baja California Sur,99,18,738,70,81
Comondu,     C,C,297,24,C
Mulege,28,3,205,19,25
La Paz,32,7,165,12,25
Los Cabos,19,3,71,15,16
Loreto,     C,C,0,0,C
Campeche,385,117, 6 787,527,268
Calkiní,17,10, 1 228,19,7
Campeche,35,13,677,18,22
Carmen,47,7,208,38,40
Champoton,57,30, 2 082,113,27
Hecelchakan,15,2,85,9,13
Hopelchen,40,11,752,27,29
Palizada,4,4,180,20,0
Tenabo,10,6,487,33,4
Escarcega,38,12,402,90,26
Calakmul,65,4,45,8,61
Candelaria,57,18,641,152,39
Coahuila de Zaragoza,875,160, 4 557,683,715
Abasolo,     C,C,27,4,C
Acuña,13,0,0,0,13
Allende,4,0,0,0,4
Arteaga,26,7,161,12,19
Candela,6,2,22,0,4
Castaños,23,7,176,19,16
Cuatro Cienegas,29,5,176,28,24
Escobedo,5,3,20,0,2
Francisco I. Madero,51,10,355,175,41
Frontera,6,0,0,0,6
General Cepeda,45,5,181,4,40
Guerrero,4,0,0,0,4
Hidalgo,     C,C,0,0,C
Jimenez,19,7,67,5,12
Juarez,4,2,58,2,2
Lamadrid,     C,C,0,0,C
Matamoros,64,14,510,96,50
Monclova,8,1,5,0,7
Morelos,     C,C,0,0,C
Muzquiz,15,6,114,12,9
Nadadores,9,3,69,3,6
Nava,5,1,35,8,4
Ocampo,44,2,39,5,42
Parras,75,11,201,11,64
Piedras Negras,5,0,0,0,5
Progreso,8,2,40,4,6
Ramos Arizpe,53,11,334,21,42
Sabinas,7,1,20,4,6
Sacramento,     C,C,0,0,C
Saltillo,84,25,729,67,59
San Buenaventura,14,4,40,5,10
San Juan de Sabinas,8,0,0,0,8
San Pedro,111,11,470,60,100
Sierra Mojada,25,5,81,12,20
Torreon,30,2,50,13,28
Viesca,41,9,547,106,32
Villa Union,11,1,18,2,10
Zaragoza,13,1,12,5,12
Colima,165,34,887,167,131
Armería,9,1,40,10,8
Colima,21,3,48,9,18
Comala,13,3,38,11,10
Coquimatlan,14,4,138,11,10
Cuauhtemoc,11,5,366,105,6
Ixtlahuacan,12,1,7,0,11
Manzanillo,42,10,168,15,32
Minatitlan,11,4,48,4,7
Tecoman,25,2,26,0,23
Villa de alvarez,7,1,8,2,6
Chiapas, 2 823,301, 19 083, 2 308, 2 522
Acacoyagua,18,6,196,52,12
Acala,28,0,0,0,28
Acapetahua,22,4,168,41,18
Altamirano,26,1,32,0,25
Amatan,22,0,0,0,22
Amatenango de la Frontera,13,4,233,39,9
Amatenango del Valle,     C,C,25,13,C
Angel Albino Corzo,15,6,341,45,9
Arriaga,24,7,249,35,17
Bejucal de Ocampo,     C,C,0,0,C
Bella Vista,9,2,30,0,7
Berriozabal,16,2,62,7,14
Bochil,38,3,50,17,35
El Bosque,13,3,465,57,10
Cacahoatan,21,0,0,0,21
Catazaja,28,8,279,39,20
Cintalapa,81,11,512,78,70
Coapilla,9,3,374,42,6
Comitan de Domínguez,34,2,223,21,32
La Concordia,43,6,713,68,37
Copainala,15,2, 1 016,2,13
Chalchihuitan,     C,C,0,0,C
Chamula,5,0,0,0,5
Chanal,     C,C,0,0,C
Chapultenango,9,0,0,0,9
Chenalho,10,3,361,40,7
Chiapa de Corzo,44,6,512,59,38
Chiapilla,     C,C,0,0,C
Chicoasen,     C,C,0,0,C
Chicomuselo,32,2,38,5,30
Chilon,25,0,0,0,25
Escuintla,35,7,357,73,28
Francisco Leon,6,0,0,0,6
Frontera Comalapa,38,5,149,11,33
Frontera Hidalgo,     C,C,0,0,C
La Grandeza,3,0,0,0,3
Huehuetan,19,0,0,0,19
Huixtan,19,0,0,0,19
Huitiupan,50,2,39,1,48
Huixtla,20,7,425,141,13
La Independencia,32,6,331,5,26
Ixhuatan,6,1,80,20,5
Ixtacomitan,12,0,0,0,12
Ixtapa,32,7,221,47,25
Ixtapangajoya,4,1,21,2,3
Jiquipilas,64,10,259,34,54
Jitotol,22,0,0,0,22
Juarez,6,2,28,5,4
Larrainzar,3,0,0,0,3
La Libertad,4,0,0,0,4
Mapastepec,56,1,40,3,55
Las Margaritas,145,10,884,47,135
Mazapa de Madero,4,0,0,0,4
Mazatan,18,0,0,0,18
Metapa,     C,C,0,0,C
Mitontic,     C,C,0,0,C
Motozintla,43,7,297,33,36
Ocosingo,159,9,280,3,150
Ocotepec,     C,C,0,0,C
Ocozocoautla de Espinosa,74,5,163,21,69
Ostuacan,29,0,0,0,29
Osumacinta,3,0,0,0,3
Oxchuc,3,0,0,0,3
Palenque,163,5,108,19,158
Pantelho,9,0,0,0,9
Pantepec,6,1,70,7,5
Pichucalco,9,0,0,0,9
Pijijiapan,70,3,55,23,67
El Porvenir,5,1,20,0,4
Villa Comaltitlan,19,1,30,6,18
Pueblo Nuevo Solistahuacan,21,0,0,0,21
Rayon,4,0,0,0,4
Reforma,7,0,0,0,7
Las Rosas,17,0,0,0,17
Sabanilla,19,1,23,2,18
Salto de Agua,86,3,98,10,83
San Cristobal de las Casas,16,0,0,0,16
San Fernando,18,5,121,5,13
Siltepec,18,0,0,0,18
Simojovel,53,2,82,1,51
Sitala,7,0,0,0,7
Socoltenango,33,1,25,4,32
Solosuchiapa,11,1,20,1,10
Soyalo,4,0,0,0,4
Suchiapa,9,2,36,12,7
Suchiate,17,0,0,0,17
Sunuapa,     C,C,0,0,C
Tapachula,52,5,228,49,47
Tapalapa,     C,C,11,2,C
Tapilula,4,0,0,0,4
Tecpatan,59,4,222,28,55
Tenejapa,7,2,675,105,5
Teopisca,16,1,160,0,15
Tila,29,3,155,10,26
Tonala,54,8,198,17,46
Totolapa,8,0,0,0,8
La Trinitaria,85,15,927,76,70
Tumbala,24,4,340,3,20
Tuxtla Gutierrez,6,0,0,0,6
Tuxtla Chico,7,0,0,0,7
Tuzantan,16,4,437,149,12
Tzimol,18,2,285,32,16
Union Juarez,12,1,178,48,11
Venustiano Carranza,41,3,198,18,38
Villa Corzo,71,11, 1 893,104,60
Villaflores,67,29, 1 872,218,38
Yajalon,8,1,20,0,7
San Lucas,     C,C,0,0,C
Zinacantan,6,0,0,0,6
San Juan Cancuc,     C,C,100,0,C
Aldama,     C,C,0,0,C
Benemerito de las Americas,14,3,239,54,11
Maravilla Tenejapa,33,2,45,0,31
Marques de Comillas,23,11,516,187,12
Montecristo de Guerrero,5,2,243,12,3
San Andres Duraznal,5,0,0,0,5
Santiago el Pinar,     C,C,0,0,C
Chihuahua,987,82, 6 495,859,905
Ahumada,24,2,81,4,22
Aldama,24,4,105,9,20
Allende,21,3,130,9,18
Aquiles Serdan,     C,C,0,0,C
Ascension,21,0,0,0,21
Bachíniva,11,0,0,0,11
Balleza,20,11, 1 393,188,9
Batopilas,12,0,0,0,12
Bocoyna,26,1,100,30,25
Buenaventura,9,0,0,0,9
Camargo,24,1,42,9,23
Carichí,23,0,0,0,23
Casas Grandes,13,0,0,0,13
Coronado,6,0,0,0,6
Coyame del Sotol,12,1,7,2,11
La Cruz,5,0,0,0,5
Cuauhtemoc,26,3,46,14,23
Cusihuiriachi,21,1,14,0,20
Chihuahua,47,1,75,17,46
Chínipas,16,0,0,0,16
Delicias,4,1,20,2,3
Dr. Belisario Domínguez,9,0,0,0,9
Galeana,4,1,5,4,3
Santa Isabel,8,1,9,9,7
Gomez Farías,7,2,198,41,5
Gran Morelos,10,0,0,0,10
Guachochi,26,2,350,10,24
Guadalupe,7,1,52,7,6
Guadalupe y Calvo,45,2, 1 653,50,43
Guazapares,11,0,0,0,11
Guerrero,50,10,430,60,40
Hidalgo del Parral,12,0,0,0,12
Huejotitan,8,0,0,0,8
Ignacio Zaragoza,4,0,0,0,4
Janos,14,0,0,0,14
Jimenez,53,14,273,42,39
Juarez,10,2,72,5,8
Julimes,6,1,91,21,5
Lopez,12,2,53,10,10
Madera,20,2,673,230,18
Maguarichi,5,0,0,0,5
Manuel Benavides,14,1,12,3,13
Matachí,5,1,8,2,4
Matamoros,8,0,0,0,8
Meoqui,4,0,0,0,4
Morelos,17,0,0,0,17
Moris,10,1,50,0,9
Namiquipa,12,1,58,12,11
Nonoava,     C,C,0,0,C
Nuevo Casas Grandes,     C,C,0,0,C
Ocampo,17,3,225,40,14
Ojinaga,33,2,20,10,31
Praxedis G. Guerrero,5,0,0,0,5
Riva Palacio,9,0,0,0,9
Rosales,11,1,8,1,10
Rosario,7,0,0,0,7
San Francisco de Borja,9,0,0,0,9
San Francisco de Conchos,7,0,0,0,7
San Francisco del Oro,4,0,0,0,4
Santa Barbara,9,0,0,0,9
Satevo,20,0,0,0,20
Saucillo,13,0,0,0,13
Temosachi,13,2,142,18,11
El Tule,4,0,0,0,4
Urique,29,0,0,0,29
Uruachi,19,1,100,0,18
Valle de Zaragoza,15,0,0,0,15
Distrito Federal,37,11,677,151,26
Cuajimalpa de Morelos,     C,C,88,51,C
La Magdalena Contreras,3,2,155,18,1
Milpa Alta,8,2,19,5,6
alvaro Obregon,     C,C,0,0,C
Tlahuac,7,2,300,40,5
Tlalpan,10,3,115,37,7
Xochimilco,4,0,0,0,4
Durango, 1 124,109, 7 844, 1 867, 1 015
Canatlan,40,3,119,28,37
Canelas,     C,C,0,0,C
Coneto de Comonfort,8,1,64,5,7
Cuencame,28,4,502,80,24
Durango,122,16,570,88,106
General Simon Bolívar,21,5,378,59,16
Gomez Palacio,98,4,206,18,94
Guadalupe Victoria,10,3,335,48,7
Guanaceví,40,1,70,10,39
Hidalgo,18,1,264,43,17
Inde,12,0,0,0,12
Lerdo,31,7,504,120,24
Mapimí,78,10,225,28,68
Mezquital,22,5,406,86,17
Nazas,24,4,154,18,20
Nombre de Dios,19,4,137,2,15
Ocampo,24,1,200,100,23
El Oro,25,0,0,0,25
Otaez,14,0,0,0,14
Panuco de Coronado,17,0,0,0,17
Peñon Blanco,5,0,0,0,5
Poanas,20,1,100,3,19
Pueblo Nuevo,24,7, 1 996,789,17
Rodeo,29,1,124,10,28
San Bernardo,24,0,0,0,24
San Dimas,49,8,849,222,41
San Juan de Guadalupe,21,2,37,2,19
San Juan del Río,22,0,0,0,22
San Luis del Cordero,     C,C,100,0,C
San Pedro del Gallo,11,0,0,0,11
Santa Clara,6,0,0,0,6
Santiago Papasquiaro,62,4,94,24,58
Suchil,10,2,52,10,8
Tamazula,49,1,6,6,48
Tepehuanes,26,3,62,5,23
