INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidos y comunidades segun cuenten con sociedades de produccion rural, tipo de participantes",,,,,,,cuadro 34
y finalidad de las sociedades por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,con_sociedades_de_produccion_rural_total,con_sociedades_de_produccion_rural_ejidatarios_participantes,con_sociedades_de_produccion_rural_mujeres,con_participantes_no_ejidatarios_,solo_para_actividades_agropecuarias_o_forestales,sin_sociedades_de_produccion_rural
Estados Unidos Mexicanos,31514,1742,85952,13729,662,1313,29772
Aguascalientes,187,21,823,61,6,15,166
Aguascalientes,41,3,46,3,1,2,38
Asientos,34,6,277,12,0,4,28
Calvillo,8,2,120,15,1,2,6
Cosio,8,3,134,1,2,2,5
Jesus Maria,14,0,0,0,0,0,14
Pabellon de Arteaga,9,2,33,4,0,2,7
Rincon de Romos,13,0,0,0,0,0,13
San Jose de Gracia,10,0,0,0,0,0,10
Tepezala ,15,0,0,0,0,0,15
El Llano,24,5,213,26,2,3,19
San Francisco de los Romo,11,0,0,0,0,0,11
Baja California,240,17,599,103,6,9,223
Ensenada,97,11,488,74,3,5,86
Mexicali,119,5,66,23,3,4,114
Tecate,13,1,45,6,0,0,12
Tijuana,6,0,0,0,0,0,6
Playas de Rosarito,5,0,0,0,0,0,5
Baja California Sur,99,5,225,22,1,2,94
Comondu,C,C,0,0,0,0,C
Mulege,28,1,152,10,0,1,27
La Paz,32,2,23,0,1,1,30
Los Cabos,19,2,50,12,0,0,17
Loreto,C,C,0,0,0,0,C
Campeche,385,103,3205,277,41,78,282
Calkini,17,2,135,0,1,1,15
Campeche,35,5,93,7,2,4,30
Carmen,47,16,339,51,3,14,31
Champoton,57,12,731,41,5,9,45
Hecelchakan,15,3,50,3,1,1,12
Hopelchen,40,14,584,16,6,10,26
Palizada,4,2,109,21,2,2,2
Tenabo,10,3,105,0,1,2,7
Escarcega,38,13,386,58,8,11,25
Calakmul,65,15,252,25,6,13,50
Candelaria,57,18,421,55,6,11,39
Coahuila de Zaragoza,875,58,1549,203,20,47,817
