INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tematica de la capacitacion recibida en ultimos cinco años,,,,,,,,,,,,,,,cuadro 36
y ejidatarios participantes por entidad federativa y municipio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,total,recibieron_capacitacion_tematica_organizacion_agraria_total,recibieron_capacitacion_tematica_organizacion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_administracion_agraria_total,recibieron_capacitacion_tematica_administracion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_ejidatarios_participantes,recibieron_capacitacion_tematica_comercializacion_total,recibieron_capacitacion_tematica_comercializacion_ejidatarios_participantes,recibieron_capacitacion_tematica_derechos_agrarios_total,recibieron_capacitacion_tematica_derechos_agrarios_ejidatarios_participantes,no recibieroncapacitacion sobre estas tematicas
Estados Unidos Mexicanos,31514,8418,2906,187797,1362,83762,4144,223251,2761,95644,1014,53293,2501,203449,23096
Aguascalientes,187,50,23,567,13,199,8,108,21,381,5,239,8,572,137
Aguascalientes,41,12,4,37,4,35,1,6,5,54,1,10,0,0,29
Asientos,34,8,1,12,0,0,1,2,5,96,0,0,1,20,26
Calvillo,8,1,0,0,0,0,0,0,0,0,0,0,1,65,7
Cosio,8,1,0,0,0,0,0,0,1,25,0,0,0,0,7
Jesus Maria,14,4,2,20,1,10,0,0,2,52,0,0,1,10,10
Pabellon de Arteaga,9,6,4,200,2,35,3,40,2,31,2,189,3,201,3
Rincon de Romos,13,3,1,35,1,35,0,0,1,25,1,20,0,0,10
San Jose de Gracia,10,5,5,149,1,15,1,10,1,30,1,20,1,252,5
Tepezala ,15,4,3,49,2,25,1,40,1,12,0,0,1,24,11
El Llano,24,6,3,65,2,44,1,10,3,56,0,0,0,0,18
San Francisco de los Romo,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Baja California,240,97,74,2494,29,559,16,359,13,183,8,324,26,928,143
Ensenada,97,50,37,1090,19,407,14,332,11,138,5,219,12,329,47
Mexicali,119,43,35,1343,7,127,1,12,1,30,2,90,13,598,76
Tecate,13,2,0,0,1,10,1,15,1,15,1,15,0,0,11
Tijuana,6,1,1,3,1,3,0,0,0,0,0,0,0,0,5
Playas de Rosarito,5,1,1,58,1,12,0,0,0,0,0,0,1,1,4
Baja California Sur,99,41,24,730,12,486,13,361,31,611,7,119,12,392,58
Comondu,C,C,7,198,2,92,2,35,9,101,1,20,4,109,C
Mulege,28,5,4,130,2,62,2,26,2,17,1,5,1,1,23
La Paz,32,15,9,240,7,245,5,121,11,243,4,89,4,95,17
Los Cabos,19,9,4,162,1,87,4,179,8,226,1,5,3,187,10
Loreto,C,C,0,0,0,0,0,0,1,24,0,0,0,0,C
Campeche,385,235,118,2606,40,1214,139,4696,83,4104,24,1487,79,4672,150
Calkini,17,3,2,22,0,0,3,30,2,118,2,180,0,0,14
Campeche,35,25,10,82,6,98,15,385,9,277,1,30,9,343,10
Carmen,47,24,13,88,4,57,8,706,7,648,2,68,8,605,23
Champoton,57,33,14,944,4,47,22,869,16,1202,6,413,12,1005,24
Hecelchakan,15,8,5,74,1,4,5,124,0,0,0,0,2,95,7
Hopelchen,40,27,16,640,6,293,15,924,8,468,4,204,12,716,13
Palizada,4,3,3,148,3,123,2,149,2,184,2,144,2,119,1
Tenabo,10,4,3,12,1,4,2,19,0,0,0,0,0,0,6
Escarcega,38,30,11,149,8,510,21,328,9,503,3,350,12,887,8
Calakmul,65,43,26,243,4,66,29,763,14,342,2,43,11,517,22
Candelaria,57,35,15,204,3,12,17,399,16,362,2,55,11,385,22
Coahuila de Zaragoza,875,269,52,1387,84,887,67,1761,142,2572,43,809,76,2979,606
Abasolo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Acuña,13,7,0,0,1,47,0,0,6,53,4,43,1,8,6
Allende,4,1,0,0,0,0,0,0,0,0,0,0,1,35,3
Arteaga,26,12,6,285,4,117,8,301,3,67,2,77,5,248,14
Candela,6,6,0,0,6,12,0,0,2,52,0,0,2,111,0
Castaños,23,15,1,20,14,28,1,20,3,127,0,0,0,0,8
Cuatro Cienegas,29,10,3,48,4,34,2,19,4,50,2,19,4,88,19
Escobedo,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Francisco I. Madero,51,11,1,70,3,82,1,21,6,78,3,35,3,147,40
Frontera,6,2,0,0,1,2,1,8,1,52,0,0,0,0,4
General Cepeda,45,10,1,15,0,0,1,20,9,122,1,27,0,0,35
Guerrero,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Hidalgo,C,C,1,13,0,0,1,13,0,0,1,13,0,0,C
Jimenez,19,11,2,16,0,0,1,10,10,258,2,25,0,0,8
Juarez,4,2,0,0,0,0,1,44,1,6,0,0,1,44,2
Lamadrid,C,C,0,0,0,0,1,63,1,63,0,0,0,0,C
Matamoros,64,18,4,114,6,66,4,50,6,91,2,11,6,338,46
Monclova,8,6,2,4,4,7,2,17,1,1,0,0,1,50,2
Morelos,C,C,0,0,1,2,0,0,1,6,1,6,0,0,C
Muzquiz,15,12,2,38,3,7,0,0,12,160,0,0,2,61,3
Nadadores,9,3,1,34,1,12,3,126,2,46,1,34,2,46,6
Nava,5,1,1,10,1,25,1,25,1,25,1,25,1,25,4
Ocampo,44,1,0,0,0,0,1,15,0,0,0,0,0,0,43
Parras,75,29,7,166,2,4,13,192,14,284,5,86,10,353,46
Piedras Negras,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Progreso,8,5,2,27,3,32,1,15,3,41,3,53,1,25,3
Ramos Arizpe,53,15,2,110,6,12,0,0,11,191,3,72,5,233,38
Sabinas,7,5,3,50,1,10,3,46,4,50,3,20,2,14,2
Sacramento,C,C,0,0,0,0,0,0,1,50,0,0,0,0,C
Saltillo,84,33,6,107,14,58,9,316,16,319,2,104,12,439,51
San Buenaventura,14,5,1,18,0,0,2,18,4,33,1,8,2,51,9
San Juan de Sabinas,8,2,0,0,1,2,1,46,0,0,0,0,0,0,6
San Pedro,111,17,1,15,0,0,3,60,3,22,2,23,9,417,94
Sierra Mojada,25,8,1,12,1,12,2,6,7,48,1,3,1,9,17
Torreon,30,6,3,175,4,174,2,230,2,150,1,80,2,170,24
Viesca,41,8,0,0,2,102,1,40,5,73,1,29,1,13,33
Villa Union,11,2,1,40,1,40,1,40,2,44,1,16,1,40,9
Zaragoza,13,2,0,0,0,0,0,0,1,10,0,0,1,14,11
Colima,165,78,28,1181,15,280,43,966,40,771,6,165,10,805,87
Armeria,9,5,4,561,0,0,0,0,0,0,1,30,0,0,4
