INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades medidos por alguna institucion o empresa segun hayan optado,,,,,,cuadro 37,
por el dominio pleno de sus tierras por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_medidos,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_para_todo_el_ejido_o_comunidad_,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_ejidatarios,superficie_en_dominio_pleno_(ha),unidad_de_medida
Estados Unidos Mexicanos,28138,5914,4194,1720,52532,4658848.9300,Hectarea
Aguascalientes,179,101,69,32,365,18831.2700,Hectarea
Aguascalientes,41,32,16,16,242,8153.2200,Hectarea
Asientos,30,12,6,6,20,1140.1000,Hectarea
Calvillo,7,4,4,0,0,208.0000,Hectarea
Cosio,8,3,2,1,10,140.0000,Hectarea
Jesus Maria,14,9,9,0,0,2196.1000,Hectarea
Pabellon de Arteaga,9,8,6,2,12,265.5000,Hectarea
Rincon de Romos,12,6,5,1,1,251.3800,Hectarea
San Jose de Gracia,9,2,2,0,0,0.0000,Hectarea
Tepezala ,14,5,3,2,2,868.1700,Hectarea
El Llano,24,12,10,2,17,2893.4400,Hectarea
San Francisco de los Romo,11,8,6,2,61,2715.3600,Hectarea
Baja California,221,87,35,52,631,357086.2100,Hectarea
Ensenada,91,41,19,22,289,302110.5900,Hectarea
Mexicali,108,35,10,25,274,47334.8300,Hectarea
Tecate,12,5,3,2,21,5366.0000,Hectarea
Tijuana,5,3,3,0,0,505.0000,Hectarea
Playas de Rosarito,5,3,0,3,47,1769.7900,Hectarea
Baja California Sur,97,54,33,21,853,145990.6700,Hectarea
Comondu,18,13,7,6,435,79808.1200,Hectarea
Mulege,26,7,5,2,38,28676.0000,Hectarea
La Paz,32,20,15,5,147,31091.5500,Hectarea
Los Cabos,19,13,6,7,209,6400.0000,Hectarea
Loreto,2,1,0,1,24,15.0000,Hectarea
Campeche,355,51,39,12,303,29587.7800,Hectarea
Calkini,14,2,2,0,0,0.0000,Hectarea
Campeche,34,12,12,0,0,6827.5900,Hectarea
Carmen,42,11,9,2,62,8958.0000,Hectarea
Champoton,56,6,2,4,51,4173.6000,Hectarea
Hecelchakan,12,1,0,1,24,24.0000,Hectarea
Hopelchen,25,4,2,2,135,4347.0000,Hectarea
Palizada,4,2,1,1,1,206.0000,Hectarea
Tenabo,9,6,5,1,25,2010.6000,Hectarea
Escarcega,38,2,1,1,5,540.0000,Hectarea
Calakmul,64,0,0,0,0,0.0000,Hectarea
Candelaria,57,5,5,0,0,2501.0000,Hectarea
Coahuila de Zaragoza,852,216,154,62,1020,96573.7700,Hectarea
Abasolo,4,3,3,0,0,3836.7500,Hectarea
Acuña,13,4,2,2,18,33360.5900,Hectarea
Allende,4,0,0,0,0,0.0000,Hectarea
Arteaga,26,14,12,2,2,444.2100,Hectarea
Candela,6,0,0,0,0,0.0000,Hectarea
Castaños,22,2,2,0,0,400.0000,Hectarea
Cuatro Cienegas,29,8,8,0,0,951.0000,Hectarea
Escobedo,5,4,4,0,0,1168.0000,Hectarea
Francisco I. Madero,51,10,8,2,26,1923.0000,Hectarea
Frontera,6,0,0,0,0,0.0000,Hectarea
General Cepeda,44,7,7,0,0,3201.2000,Hectarea
Guerrero,4,1,1,0,0,40.0000,Hectarea
Hidalgo,2,0,0,0,0,0.0000,Hectarea
Jimenez,19,2,0,2,23,140.0000,Hectarea
Juarez,4,4,4,0,0,0.0000,Hectarea
Lamadrid,1,1,1,0,0,0.0000,Hectarea
Matamoros,61,39,31,8,140,5379.9100,Hectarea
Monclova,8,6,4,2,20,941.0000,Hectarea
Morelos,2,1,1,0,0,200.0000,Hectarea
Muzquiz,12,3,0,3,21,720.0000,Hectarea
Nadadores,9,3,2,1,13,28.0000,Hectarea
Nava,4,2,2,0,0,473.5000,Hectarea
Ocampo,43,1,0,1,19,219.7800,Hectarea
Parras,71,19,12,7,53,14874.8900,Hectarea
Piedras Negras,5,3,2,1,8,3408.6200,Hectarea
Progreso,8,1,1,0,0,30.0000,Hectarea
Ramos Arizpe,53,18,14,4,102,3396.0000,Hectarea
Sabinas,7,2,1,1,46,2200.0000,Hectarea
Sacramento,1,0,0,0,0,0.0000,Hectarea
Saltillo,82,18,13,5,63,5791.2300,Hectarea
San Buenaventura,12,3,2,1,1,64.0000,Hectarea
San Juan de Sabinas,7,2,1,1,4,38.0000,Hectarea
San Pedro,110,10,1,9,221,788.0000,Hectarea
Sierra Mojada,25,2,1,1,38,380.0000,Hectarea
Torreon,28,16,10,6,142,5229.0000,Hectarea
Viesca,40,0,0,0,0,0.0000,Hectarea
Villa Union,11,3,3,0,0,100.0000,Hectarea
Zaragoza,13,4,1,3,60,6847.1000,Hectarea
Colima,163,56,7,49,385,6136.0700,Hectarea
Armeria,9,3,0,3,15,118.0000,Hectarea
Colima,21,11,4,7,33,1362.0000,Hectarea
Comala,13,7,0,7,79,1228.0000,Hectarea
Coquimatlan,14,6,0,6,88,548.0000,Hectarea
Cuauhtemoc,11,8,0,8,57,849.9200,Hectarea
Ixtlahuacan,12,2,0,2,3,77.0000,Hectarea
Manzanillo,40,10,2,8,46,1090.5000,Hectarea
Minatitlan,11,1,0,1,1,15.0000,Hectarea
