INEGI. IX Censo Ejidal 2007,,,,,,,,,,
"Total de ejidos y comunidades segun compravente de tierras ejidales, tipo de participantes",,,,,,,,,,Cuadro 38
y superficie vendida por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio, ejidos_y_comunidades,con_compraventa_de_tierras_ejidales_total,con_compraventa_de_tierras_ejidales_entro_ejidatarios,con_compraventa_de_tierras_ejidales_con_avecindados_o_posesionarios,con_compraventa_de_tierras_ejidales_con_personas_ajenas_al_ejido,principales_compradores_ejidatarios,principales_compradores_avecindados_o_posesionarios,principales_compradores_personas_ajenas_al_ejido,superficie_vendida_en_los_ultimos_10 años_(ha),no_reportan_compraventa
Estados Unidos Mexicanos,31514,20989,17308,11446,11360,12661,2338,5990,3097658.83,10525
Aguascalientes,187,166,107,115,138,47,31,88,13635.53,21
Aguascalientes,41,39,16,22,32,4,5,30,4185.3,2
Asientos,34,29,25,22,22,12,6,11,1295,5
Calvillo,8,8,5,5,4,5,1,2,669,0
Cosio,8,8,5,6,7,1,2,5,778.9,0
Jesus Maria,14,13,6,8,12,5,0,8,1916.33,1
Pabellon de Arteaga,9,8,6,7,8,2,3,3,243,1
Rincon de Romos,13,10,7,5,8,3,3,4,590,3
San Jose de Gracia,10,7,6,6,5,4,3,0,1510,3
Tepezala ,15,15,10,13,15,4,3,8,336,0
El Llano,24,18,12,10,16,4,2,12,831,6
San Francisco de los Romo,11,11,9,11,9,3,3,5,1281,0
Baja California,240,173,106,82,114,64,22,87,139312.63,67
Ensenada,97,66,41,39,48,23,9,34,98392.63,31
Mexicali,119,88,58,31,49,39,10,39,34138,31
Tecate,13,11,4,6,10,1,0,10,3520,2
Tijuana,6,4,2,2,4,1,2,1,2388,2
Playas de Rosarito,5,4,1,4,3,0,1,3,874,1
Baja California Sur,99,57,35,18,41,17,3,37,62210,42
Comondu,C,C,5,3,5,2,1,5,21285,C
Mulege,28,13,9,5,11,5,1,7,13018,15
La Paz,32,23,11,4,16,6,0,17,23667,9
Los Cabos,19,12,10,5,8,4,1,7,3740,7
Loreto,C,C,0,1,1,0,0,1,500,C
Campeche,385,221,194,148,141,135,28,58,98145.5,164
Calkini,17,0,0,0,0,0,0,0,0,17
Campeche,35,23,20,16,14,14,3,6,3642,12
Carmen,47,37,33,22,19,24,5,8,8153,10
Champoton,57,50,44,36,34,25,11,14,52055,7
Hecelchakan,15,0,0,0,0,0,0,0,0,15
Hopelchen,40,5,2,3,1,3,1,1,280,35
Palizada,4,4,4,3,2,4,0,0,1420,0
Tenabo,10,4,4,3,4,3,0,1,450,6
Escarcega,38,33,32,26,21,23,2,8,11688,5
Calakmul,65,15,10,6,9,8,3,4,4203,50
Candelaria,57,50,45,33,37,31,3,16,16254.5,7
Coahuila de Zaragoza,875,593,334,225,449,180,54,359,314223.91,282
Abasolo,C,C,3,2,0,3,0,0,406,C
Acuña,13,9,3,3,6,1,3,5,108851.46,4
Allende,4,3,2,2,3,1,0,2,1092,1
Arteaga,26,19,11,10,17,4,1,14,1477,7
Candela,6,6,5,4,0,5,1,0,1130,0
Castaños,23,19,18,12,12,10,2,7,3271,4
Cuatro Cienegas,29,19,8,4,18,1,0,18,25562,10
Escobedo,5,2,2,1,1,1,1,0,540,3
Francisco I. Madero,51,36,20,20,27,10,6,20,4257.84,15
Frontera,6,6,4,5,6,0,0,6,850,0
General Cepeda,45,28,12,1,21,10,0,18,11426,17
Guerrero,4,2,2,2,1,1,1,0,166,2
Hidalgo,C,C,1,0,2,0,0,2,829,C
Jimenez,19,15,10,7,12,6,1,8,1247,4
Juarez,4,2,1,1,2,0,0,2,61,2
Lamadrid,C,C,0,0,1,0,0,1,52,C
Matamoros,64,46,22,26,42,4,11,31,7844.19,18
Monclova,8,4,3,3,4,0,0,4,1390,4
Morelos,C,C,1,2,2,0,1,1,460,C
Muzquiz,15,7,7,2,4,4,1,2,8512,8
Nadadores,9,7,5,3,5,4,1,2,431.5,2
Nava,5,3,0,2,3,0,0,3,635,2
Ocampo,44,32,18,4,14,17,3,12,24207.25,12
Parras,75,49,20,13,41,13,3,33,41786.18,26
Piedras Negras,5,4,2,3,4,0,0,4,1044,1
Progreso,8,7,4,0,6,3,1,3,214,1
Ramos Arizpe,53,36,16,6,28,10,1,25,3476,17
Sabinas,7,4,3,2,3,1,0,3,750,3
Sacramento,C,C,1,0,1,1,0,0,50,C
Saltillo,84,47,33,18,35,16,1,30,2708,37
San Buenaventura,14,12,9,6,10,5,0,7,572,2
San Juan de Sabinas,8,6,5,3,4,2,0,4,318,2
San Pedro,111,83,53,30,60,32,7,44,6141.91,28
Sierra Mojada,25,12,7,4,7,6,0,6,37953.53,13
Torreon,30,23,11,12,21,1,2,20,5717.33,7
Viesca,41,16,5,5,13,2,1,13,1155.5,25
Villa Union,11,8,3,5,3,3,4,1,345,3
Zaragoza,13,12,4,2,10,3,1,8,7294.22,1
Colima,165,146,115,80,108,69,10,67,26101.5,19
Armeria,9,9,8,8,8,3,0,6,1969,0
Colima,21,17,10,1,7,10,0,7,3568,4
Comala,13,10,4,5,7,2,2,6,931,3
Coquimatlan,14,13,11,9,13,6,1,6,1142,1
Cuauhtemoc,11,11,9,6,8,6,0,5,1773,0
Ixtlahuacan,12,12,12,7,7,9,0,3,1881,0
Manzanillo,42,38,34,29,31,16,5,17,9209.5,4
Minatitlan,11,8,6,2,4,5,0,3,1347,3
Tecoman,25,22,18,13,19,10,2,10,3686,3
Villa de alvarez,7,6,3,0,4,2,0,4,595,1
Chiapas,2823,1649,1548,872,483,1320,151,178,132314.93,1174
Acacoyagua,18,12,10,5,7,7,1,4,1015,6
Acala,28,18,16,8,7,13,1,4,876,10
Acapetahua,22,17,16,8,9,16,0,1,878,5
Altamirano,26,10,9,7,3,5,3,2,174,16
Amatan,22,14,12,8,6,10,0,4,1038.4,8
Amatenango de la Frontera,13,8,8,4,0,7,1,0,435.5,5
Amatenango del Valle,C,C,1,0,0,1,0,0,0,C
Angel Albino Corzo,15,13,13,9,2,11,0,2,350,2
Arriaga,24,20,18,8,9,14,2,4,1873,4
Bejucal de Ocampo,C,C,1,0,0,1,0,0,2,C
Bella Vista,9,4,4,4,1,3,0,1,75,5
Berriozabal,16,12,12,9,7,6,1,5,903,4
Bochil,38,30,29,16,5,26,4,0,927,8
El Bosque,13,8,8,8,2,8,0,0,169,5
Cacahoatan,21,18,18,13,5,14,4,0,379,3
Catazaja,28,21,20,17,6,19,2,0,1282,7
Cintalapa,81,58,56,24,23,41,4,13,4553,23
Coapilla,9,6,6,4,1,6,0,0,364,3
Comitan de Dominguez,34,21,20,11,8,13,3,5,441.25,13
La Concordia,43,22,20,14,6,19,0,3,2169,21
Copainala,15,10,10,6,4,10,0,0,1807,5
Chalchihuitan,C,C,1,0,0,1,0,0,100,C
Chamula,5,0,0,0,0,0,0,0,0,5
Chanal,C,C,1,0,0,1,0,0,10,C
Chapultenango,9,7,7,3,4,6,0,1,1880,2
Chenalho,10,4,4,2,0,4,0,0,400,6
Chiapa de Corzo,44,26,21,20,19,14,3,9,1258,18
Chiapilla,C,C,2,2,1,2,0,0,19,C
Chicoasen,C,C,1,0,0,1,0,0,20,C
Chicomuselo,32,15,15,13,2,14,1,0,1279,17
Chilon,25,8,8,2,1,8,0,0,393,17
Escuintla,35,30,29,23,15,22,3,5,2124.5,5
Francisco Leon,6,6,6,2,1,6,0,0,378,0
Frontera Comalapa,38,29,29,28,8,22,5,2,2562,9
Frontera Hidalgo,C,C,1,1,0,1,1,0,101,C
La Grandeza,3,2,2,2,1,1,1,0,25,1
Huehuetan,19,10,7,9,3,5,2,3,317,9
Huixtan,19,4,4,1,1,4,0,0,166,15
Huitiupan,50,19,19,4,1,18,1,0,484.75,31
Huixtla,20,11,10,6,5,9,1,1,497,9
La Independencia,32,15,15,14,2,12,3,0,1008,17
