INEGI. IX Censo Ejidal 2007,,,,,,,,
Total de ejidos y comunidades segun tipo de problematica interna,,,,,,,,cuadro 39
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,problematica_interna_de_linderos_al_interior_del_ejido,problematica_interna_de_linderos_con_sus_colindantes,problematica_interna_ invasion_de_terrenos,problematica_interna_ acceso_al_credito,problematica_interna_ erosion_o_salinidad_del_suelo,problematica_interna_ acceso_al_agua_para_riego,problematica_interna_otros_problemas
Estados Unidos Mexicanos,31514,4419,6158,4924,12546,5650,8700,1245
Aguascalientes,187,43,40,32,61,34,42,4
Aguascalientes,41,10,10,6,14,13,16,1
Asientos,34,10,10,10,7,4,1,0
Calvillo,8,3,1,2,5,0,3,0
Cosio,8,1,2,0,6,1,0,0
Jesus Maria,14,2,1,1,2,0,2,0
Pabellon de Arteaga,9,1,3,0,2,2,1,0
Rincon de Romos,13,8,2,2,9,3,3,0
San Jose de Gracia,10,2,0,2,5,3,2,0
Tepezala ,15,0,4,6,5,2,3,0
El Llano,24,6,5,1,6,4,9,2
San Francisco de los Romo,11,0,2,2,0,2,2,1
Baja California,240,45,67,67,118,95,105,8
Ensenada,97,23,33,33,42,33,49,5
Mexicali,119,17,25,22,71,60,48,3
Tecate,13,2,6,5,2,1,5,0
Tijuana,6,2,2,5,2,1,2,0
Playas de Rosarito,5,1,1,2,1,0,1,0
Baja California Sur,99,18,19,18,24,32,26,3
Comondu,C,4,4,5,9,4,1,0
Mulege,28,5,3,3,8,13,12,1
La Paz,32,5,8,5,4,7,7,2
Los Cabos,19,3,3,3,2,7,6,0
Loreto,C,1,1,2,1,1,0,0
Campeche,385,61,55,42,222,49,165,24
Calkini,17,6,6,7,8,3,1,0
Campeche,35,2,1,2,17,2,2,1
Carmen,47,8,6,6,42,13,12,1
Champoton,57,8,7,5,29,11,9,3
Hecelchakan,15,11,9,2,14,2,7,0
Hopelchen,40,13,15,8,16,4,15,4
Palizada,4,1,0,1,3,0,1,0
Tenabo,10,2,3,3,7,0,2,0
Escarcega,38,5,3,4,24,2,29,6
Calakmul,65,1,2,1,32,2,57,6
Candelaria,57,4,3,3,30,10,30,3
Coahuila de Zaragoza,875,122,211,162,404,248,283,23
Abasolo,C,0,0,1,1,4,2,0
Acuña,13,1,3,2,5,1,2,0
Allende,4,0,1,1,2,0,2,0
Arteaga,26,10,8,6,16,5,8,0
Candela,6,0,2,1,4,4,5,0
Castaños,23,3,3,0,10,2,2,5
Cuatro Cienegas,29,4,11,5,18,5,17,2
Escobedo,5,0,2,1,0,3,5,0
Francisco I. Madero,51,6,12,8,31,16,17,0
Frontera,6,1,2,2,2,2,4,0
General Cepeda,45,4,12,8,11,3,3,0
Guerrero,4,2,0,1,0,0,0,0
Hidalgo,C,0,0,0,2,0,1,0
Jimenez,19,2,3,5,3,3,7,0
Juarez,4,1,1,1,0,1,0,0
Lamadrid,C,0,0,0,0,1,0,0
Matamoros,64,6,14,13,45,17,20,0
Monclova,8,1,2,2,4,5,2,0
Morelos,C,1,1,1,2,0,2,0
Muzquiz,15,2,3,5,7,6,5,0
Nadadores,9,1,4,4,6,5,4,0
Nava,5,0,1,0,0,0,1,0
Ocampo,44,6,13,9,13,17,12,0
Parras,75,11,22,17,39,35,31,5
Piedras Negras,5,1,2,1,2,1,2,1
Progreso,8,1,2,2,1,0,4,0
Ramos Arizpe,53,5,10,12,11,12,24,0
Sabinas,7,1,0,1,2,1,0,0
Sacramento,C,1,1,0,0,0,0,0
Saltillo,84,11,22,15,19,13,9,1
San Buenaventura,14,4,3,3,4,6,1,0
San Juan de Sabinas,8,1,2,1,2,2,3,0
San Pedro,111,15,17,9,90,50,42,5
Sierra Mojada,25,3,7,6,9,10,19,0
Torreon,30,8,13,9,16,7,4,3
Viesca,41,9,11,8,24,10,16,1
Villa Union,11,0,1,1,3,1,6,0
Zaragoza,13,0,0,1,0,0,1,0
Colima,165,36,52,30,80,55,75,4
Armeria,9,2,1,2,5,4,6,0
Colima,21,4,4,1,8,8,7,1
Comala,13,4,7,4,4,3,5,0
Coquimatlan,14,3,4,2,10,2,5,0
Cuauhtemoc,11,3,2,1,2,3,7,0
Ixtlahuacan,12,3,2,2,8,2,9,0
Manzanillo,42,5,14,9,22,12,15,2
Minatitlan,11,3,6,1,3,3,2,1
Tecoman,25,7,11,7,15,16,14,0
Villa de alvarez,7,2,1,1,3,2,5,0
Chiapas,2823,216,295,220,1127,349,504,88
Acacoyagua,18,5,3,3,9,9,7,1
Acala,28,1,2,1,4,5,2,1
Acapetahua,22,3,2,3,14,7,5,0
Altamirano,26,1,5,5,17,3,4,0
Amatan,22,1,3,3,11,3,1,0
Amatenango de la Frontera,13,3,1,2,3,2,3,0
Amatenango del Valle,C,0,0,0,0,0,0,0
Angel Albino Corzo,15,6,12,9,11,3,4,0
Arriaga,24,1,0,2,14,6,11,6
Bejucal de Ocampo,C,1,0,0,0,2,1,0
Bella Vista,9,1,6,7,5,0,0,0
Berriozabal,16,4,2,2,8,1,5,2
Bochil,38,2,1,0,12,3,3,2
El Bosque,13,2,2,1,2,0,0,0
Cacahoatan,21,0,0,1,8,0,0,2
Catazaja,28,0,3,3,8,0,2,0
Cintalapa,81,3,11,4,34,21,27,5
Coapilla,9,0,3,3,2,0,0,0
Comitan de Dominguez,34,2,2,1,6,1,3,0
La Concordia,43,5,10,4,27,9,16,0
Copainala,15,3,2,3,8,1,6,2
Chalchihuitan,C,0,1,1,0,0,0,0
Chamula,5,0,0,0,1,0,1,0
Chanal,C,0,0,0,0,0,0,0
Chapultenango,9,0,0,0,2,0,2,0
Chenalho,10,1,2,3,3,1,1,0
Chiapa de Corzo,44,5,4,3,30,6,15,0
Chiapilla,C,1,1,0,0,0,1,0
Chicoasen,C,0,0,0,0,0,0,0
Chicomuselo,32,2,1,2,7,2,5,1
Chilon,25,6,7,2,12,2,1,0
Escuintla,35,6,5,4,28,16,11,0
Francisco Leon,6,0,0,1,0,0,0,0
Frontera Comalapa,38,3,2,4,16,2,2,0
Frontera Hidalgo,C,0,0,0,1,1,0,0
La Grandeza,3,3,2,2,1,1,0,0
Huehuetan,19,1,0,1,8,4,6,1
Huixtan,19,0,1,0,3,1,3,1
Huitiupan,50,2,2,2,20,1,2,0
Huixtla,20,0,2,3,10,10,3,4
La Independencia,32,2,4,3,5,1,2,1
Ixhuatan,6,2,2,1,3,0,2,0
Ixtacomitan,12,0,0,0,4,4,5,0
Ixtapa,32,2,5,2,24,3,7,0
Ixtapangajoya,4,0,1,2,1,0,1,0
Jiquipilas,64,5,3,4,21,5,29,0
Jitotol,22,0,0,0,2,0,3,0
Juarez,6,2,1,1,4,3,1,1
Larrainzar,3,0,0,0,0,0,0,0
La Libertad,4,0,0,0,3,0,0,0
Mapastepec,56,2,1,0,16,0,0,0
Las Margaritas,145,6,14,8,34,4,34,0
Mazapa de Madero,4,2,2,1,0,0,0,0
Mazatan,18,2,4,2,14,0,7,0
Metapa,C,1,0,0,0,1,0,1
Mitontic,C,0,0,0,0,0,1,0
Motozintla,43,7,6,4,21,0,2,1
Ocosingo,159,15,18,13,48,4,9,5
Ocotepec,C,0,1,1,1,0,0,0
Ocozocoautla de Espinosa,74,2,3,6,29,4,12,0
Ostuacan,29,2,4,2,8,1,10,0
Osumacinta,3,2,2,2,2,2,1,0
Oxchuc,3,0,0,0,0,0,0,0
Palenque,163,2,10,4,72,27,11,2
Pantelho,9,1,1,1,1,0,0,0
Pantepec,6,2,2,2,3,1,0,1
Pichucalco,9,1,0,1,2,1,1,0
Pijijiapan,70,1,3,2,11,5,0,1
El Porvenir,5,3,4,4,2,3,1,0
Villa Comaltitlan,19,1,3,0,10,10,0,0
Pueblo Nuevo Solistahuacan,21,0,2,1,0,0,12,0
Rayon,4,0,1,0,2,0,0,0
Reforma,7,0,1,1,7,5,6,0
Las Rosas,17,0,1,0,3,1,5,0
Sabanilla,19,6,6,5,3,3,4,0
Salto de Agua,86,1,4,1,32,0,1,4
San Cristobal de las Casas,16,1,3,0,5,0,1,0
San Fernando,18,1,1,1,8,2,12,1
Siltepec,18,8,11,11,6,6,5,0
