INEGI. IX Censo Ejidal 2007,,,,,
Total de ejidos y comunidades segun sexo del presidente del comisariado,,,,,cuadro 40
y si es hablante de lengua indigena por entidad federativa y municipio,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,sexo_del_presidente_del_comisariado_hombres,sexo_del_presidente_del_comisariado_mujeres,hablantes_de_lengua_indigena_hombres,hablantes_de_lengua_indigena_mujeres
Estados Unidos Mexicanos,31514,30716,798,5219,64
Aguascalientes,187,186,1,0,0
Aguascalientes,41,40,1,0,0
Asientos,34,34,0,0,0
Calvillo,8,8,0,0,0
Cosio,8,8,0,0,0
Jesus Maria,14,14,0,0,0
Pabellon de Arteaga,9,9,0,0,0
Rincon de Romos,13,13,0,0,0
San Jose de Gracia,10,10,0,0,0
Tepezala ,15,15,0,0,0
El Llano,24,24,0,0,0
San Francisco de los Romo,11,11,0,0,0
Baja California,240,217,23,4,1
Ensenada,97,86,11,1,1
Mexicali,119,111,8,1,0
Tecate,13,13,0,1,0
Tijuana,6,4,2,0,0
Playas de Rosarito,5,3,2,1,0
Baja California Sur,99,94,5,1,0
Comondu,C,17,1,0,0
Mulege,28,27,1,1,0
La Paz,32,31,1,0,0
Los Cabos,19,18,1,0,0
Loreto,C,1,1,0,0
Campeche,385,376,9,139,3
Calkini,17,17,0,16,0
Campeche,35,35,0,14,0
Carmen,47,47,0,1,0
Champoton,57,56,1,8,0
Hecelchakan,15,15,0,14,0
Hopelchen,40,39,1,37,1
Palizada,4,4,0,0,0
Tenabo,10,10,0,5,0
Escarcega,38,37,1,11,0
Calakmul,65,63,2,26,0
Candelaria,57,53,4,7,2
Coahuila de Zaragoza,875,844,31,1,0
Abasolo,C,4,0,0,0
Acuña,13,13,0,0,0
Allende,4,3,1,0,0
Arteaga,26,26,0,0,0
Candela,6,5,1,0,0
Castaños,23,22,1,0,0
Cuatro Cienegas,29,28,1,0,0
Escobedo,5,5,0,0,0
Francisco I. Madero,51,49,2,0,0
Frontera,6,6,0,0,0
General Cepeda,45,45,0,0,0
Guerrero,4,4,0,0,0
Hidalgo,C,2,0,0,0
Jimenez,19,18,1,0,0
Juarez,4,4,0,0,0
Lamadrid,C,1,0,0,0
Matamoros,64,63,1,0,0
Monclova,8,8,0,0,0
Morelos,C,2,0,0,0
Muzquiz,15,15,0,1,0
Nadadores,9,9,0,0,0
Nava,5,4,1,0,0
Ocampo,44,43,1,0,0
Parras,75,75,0,0,0
Piedras Negras,5,4,1,0,0
Progreso,8,6,2,0,0
Ramos Arizpe,53,53,0,0,0
Sabinas,7,6,1,0,0
Sacramento,C,1,0,0,0
Saltillo,84,81,3,0,0
San Buenaventura,14,14,0,0,0
San Juan de Sabinas,8,8,0,0,0
San Pedro,111,108,3,0,0
Sierra Mojada,25,23,2,0,0
Torreon,30,24,6,0,0
Viesca,41,39,2,0,0
Villa Union,11,10,1,0,0
Zaragoza,13,13,0,0,0
Colima,165,163,2,0,0
Armeria,9,9,0,0,0
Colima,21,21,0,0,0
Comala,13,13,0,0,0
Coquimatlan,14,14,0,0,0
Cuauhtemoc,11,10,1,0,0
Ixtlahuacan,12,12,0,0,0
Manzanillo,42,42,0,0,0
Minatitlan,11,10,1,0,0
Tecoman,25,25,0,0,0
Villa de alvarez,7,7,0,0,0
Chiapas,2823,2764,59,1102,10
Acacoyagua,18,17,1,1,0
Acala,28,27,1,4,0
Acapetahua,22,21,1,0,0
Altamirano,26,26,0,22,0
Amatan,22,22,0,8,0
Amatenango de la Frontera,13,13,0,0,0
Amatenango del Valle,C,2,0,1,0
Angel Albino Corzo,15,15,0,0,0
Arriaga,24,21,3,0,0
Bejucal de Ocampo,C,3,0,0,0
Bella Vista,9,9,0,0,0
Berriozabal,16,16,0,5,0
Bochil,38,35,3,28,2
El Bosque,13,13,0,13,0
Cacahoatan,21,21,0,3,0
Catazaja,28,28,0,0,0
Cintalapa,81,80,1,15,1
Coapilla,9,9,0,0,0
Comitan de Dominguez,34,32,2,4,0
La Concordia,43,42,1,8,0
Copainala,15,15,0,3,0
Chalchihuitan,C,1,0,1,0
Chamula,5,5,0,5,0
Chanal,C,1,0,1,0
Chapultenango,9,9,0,8,0
Chenalho,10,10,0,9,0
Chiapa de Corzo,44,43,1,5,1
Chiapilla,C,2,0,0,0
Chicoasen,C,1,0,0,0
Chicomuselo,32,32,0,0,0
Chilon,25,24,1,23,1
Escuintla,35,34,1,0,0
Francisco Leon,6,6,0,6,0
Frontera Comalapa,38,37,1,3,0
Frontera Hidalgo,C,2,0,0,0
La Grandeza,3,3,0,0,0
Huehuetan,19,18,1,0,0
Huixtan,19,19,0,18,0
Huitiupan,50,50,0,44,0
Huixtla,20,20,0,0,0
La Independencia,32,32,0,1,0
Ixhuatan,6,6,0,5,0
Ixtacomitan,12,12,0,7,0
Ixtapa,32,31,1,11,0
Ixtapangajoya,4,4,0,1,0
Jiquipilas,64,61,3,4,0
Jitotol,22,22,0,16,0
Juarez,6,6,0,1,0
Larrainzar,3,3,0,3,0
La Libertad,4,4,0,1,0
Mapastepec,56,54,2,0,0
Las Margaritas,145,145,0,95,0
Mazapa de Madero,4,4,0,0,0
Mazatan,18,17,1,0,0
Metapa,C,1,0,0,0
Mitontic,C,1,0,1,0
Motozintla,43,43,0,2,0
Ocosingo,159,159,0,157,0
Ocotepec,C,1,0,1,0
Ocozocoautla de Espinosa,74,71,3,34,2
Ostuacan,29,29,0,7,0
Osumacinta,3,3,0,0,0
Oxchuc,3,3,0,3,0
Palenque,163,160,3,120,3
Pantelho,9,9,0,9,0
Pantepec,6,6,0,4,0
Pichucalco,9,8,1,4,0
Pijijiapan,70,66,4,5,0
El Porvenir,5,5,0,1,0
Villa Comaltitlan,19,17,2,0,0
Pueblo Nuevo Solistahuacan,21,21,0,9,0
Rayon,4,4,0,3,0
Reforma,7,7,0,0,0
Las Rosas,17,15,2,1,0
Sabanilla,19,19,0,17,0
Salto de Agua,86,86,0,78,0
San Cristobal de las Casas,16,16,0,15,0
San Fernando,18,18,0,0,0
Siltepec,18,18,0,0,0
Simojovel,53,53,0,50,0
Sitala,7,7,0,7,0
Socoltenango,33,32,1,4,0
Solosuchiapa,11,11,0,8,0
Soyalo,4,4,0,3,0
Suchiapa,9,9,0,2,0
Suchiate,17,17,0,0,0
Sunuapa,C,1,0,0,0
Tapachula,52,50,2,5,0
Tapalapa,C,2,0,2,0
Tapilula,4,4,0,2,0
Tecpatan,59,57,2,17,0
Tenejapa,7,7,0,7,0
Teopisca,16,16,0,9,0
Tila,29,29,0,29,0
Tonala,54,49,5,0,0
Totolapa,8,8,0,1,0
La Trinitaria,85,83,2,7,0
Tumbala,24,24,0,24,0
Tuxtla Gutierrez,6,6,0,0,0
Tuxtla Chico,7,6,1,0,0
Tuzantan,16,16,0,0,0
Tzimol,18,17,1,0,0
Union Juarez,12,11,1,0,0
Venustiano Carranza,41,41,0,8,0
Villa Corzo,71,69,2,6,0
Villaflores,67,67,0,7,0
Yajalon,8,8,0,8,0
San Lucas,C,2,0,0,0
Zinacantan,6,6,0,6,0
San Juan Cancuc,C,1,0,1,0
Aldama,C,1,0,1,0
Benemerito de las Americas,14,14,0,6,0
Maravilla Tenejapa,33,32,1,12,0
Marques de Comillas,23,22,1,10,0
Montecristo de Guerrero,5,5,0,0,0
San Andres Duraznal,5,5,0,5,0
Santiago el Pinar,C,1,0,1,0
Chihuahua,987,955,32,75,4
Ahumada,24,24,0,0,0
Aldama,24,23,1,0,0
Allende,21,21,0,0,0
Aquiles Serdan,C,2,0,0,0
Ascension,21,21,0,0,0
Bachiniva,11,11,0,0,0
Balleza,20,19,1,6,0
Batopilas,12,12,0,2,0
Bocoyna,26,24,2,7,1
Buenaventura,9,9,0,0,0
Camargo,24,22,2,0,0
Carichi,23,22,1,5,1
Casas Grandes,13,13,0,0,0
Coronado,6,6,0,0,0
Coyame del Sotol,12,12,0,1,0
La Cruz,5,5,0,0,0
Cuauhtemoc,26,26,0,0,0
Cusihuiriachi,21,20,1,0,0
