INEGI. IX Censo Ejidal 2007,,,,,,,
"Ejidos y comunidades con asistencia a la escuela del presidente del comisariado,",,,,,,,cuadro 41
segun nivel maximo de estudios aprobado por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_asistencia_a_la_escuela_del_presidente_del_comisariado,nivel_maximo_de_estudios_aprobado_ninguno,nivel_maximo_de_estudios_aprobado_primaria,nivel_maximo_de_estudios_aprobado_secundaria,nivel_maximo_de_estudios_aprobado_preparatoria,nivel_maximo_de_estudios_aprobado_otros_estudios,nivel_maximo_de_estudios_aprobado_sin_asistencia_a_la_escuela
Estados Unidos Mexicanos,28407,130,20723,4187,1421,1946,3107
Aguascalientes,174,0,144,16,6,8,13
Aguascalientes,39,0,33,2,4,0,2
Asientos,32,0,26,4,1,1,2
Calvillo,5,0,5,0,0,0,3
Cosio,8,0,6,0,0,2,0
Jesus Maria,14,0,13,1,0,0,0
Pabellon de Arteaga,8,0,5,1,1,1,1
Rincon de Romos,12,0,12,0,0,0,1
San Jose de Gracia,9,0,6,1,0,2,1
Tepezala ,14,0,12,2,0,0,1
El Llano,22,0,16,5,0,1,2
San Francisco de los Romo,11,0,10,0,0,1,0
Baja California,229,1,83,41,30,74,11
Ensenada,91,1,40,16,11,23,6
Mexicali,114,0,35,21,15,43,5
Tecate,13,0,6,1,2,4,0
Tijuana,6,0,0,3,1,2,0
Playas de Rosarito,5,0,2,0,1,2,0
Baja California Sur,99,0,53,22,13,11,0
Comondu,18,0,11,2,2,3,0
Mulege,28,0,14,6,2,6,0
La Paz,32,0,16,10,5,1,0
Los Cabos,19,0,10,4,4,1,0
Loreto,2,0,2,0,0,0,0
Campeche,359,2,246,81,17,13,26
Calkini,17,0,12,2,1,2,0
Campeche,35,0,27,6,2,0,0
Carmen,45,0,32,9,2,2,2
Champoton,50,1,31,8,5,5,7
Hecelchakan,14,0,8,4,2,0,1
Hopelchen,40,0,29,10,1,0,0
Palizada,4,0,3,0,0,1,0
Tenabo,10,0,6,4,0,0,0
Escarcega,33,0,26,6,1,0,5
Calakmul,60,1,40,15,2,2,5
Candelaria,51,0,32,17,1,1,6
Coahuila de Zaragoza,824,2,567,120,47,88,51
Abasolo,4,0,2,1,1,0,0
Acuña,12,0,8,1,2,1,1
Allende,4,0,4,0,0,0,0
Arteaga,25,0,16,3,3,3,1
Candela,6,0,4,2,0,0,0
Castaños,23,0,13,4,2,4,0
Cuatro Cienegas,27,0,18,5,2,2,2
Escobedo,5,0,4,1,0,0,0
Francisco I. Madero,47,0,28,8,4,7,4
Frontera,5,0,3,0,0,2,1
General Cepeda,43,0,38,3,1,1,2
Guerrero,3,0,2,0,0,1,1
Hidalgo,2,0,2,0,0,0,0
Jimenez,19,0,16,1,1,1,0
Juarez,3,0,1,2,0,0,1
Lamadrid,1,0,1,0,0,0,0
Matamoros,63,0,37,10,6,10,1
Monclova,8,0,5,3,0,0,0
Morelos,2,0,2,0,0,0,0
Muzquiz,14,0,6,4,0,4,1
Nadadores,9,0,4,3,1,1,0
Nava,5,0,3,1,0,1,0
Ocampo,44,0,29,8,3,4,0
Parras,62,0,44,9,4,5,13
Piedras Negras,5,0,3,1,0,1,0
Progreso,8,0,6,0,0,2,0
Ramos Arizpe,50,0,44,4,0,2,3
Sabinas,7,0,2,1,1,3,0
Sacramento,1,0,0,1,0,0,0
Saltillo,79,2,62,12,2,1,5
San Buenaventura,13,0,9,3,0,1,1
San Juan de Sabinas,8,0,3,1,1,3,0
San Pedro,103,0,69,11,6,17,8
Sierra Mojada,25,0,14,7,2,2,0
Torreon,29,0,19,6,1,3,1
Viesca,37,0,28,3,3,3,4
Villa Union,11,0,8,0,0,3,0
Zaragoza,12,0,10,1,1,0,1
Colima,154,0,88,27,15,24,11
Armeria,8,0,3,3,1,1,1
Colima,20,0,10,5,2,3,1
Comala,13,0,7,1,1,4,0
Coquimatlan,12,0,9,1,1,1,2
Cuauhtemoc,11,0,6,1,3,1,0
Ixtlahuacan,10,0,7,1,1,1,2
Manzanillo,41,0,23,7,4,7,1
Minatitlan,10,0,7,3,0,0,1
Tecoman,23,0,14,3,2,4,2
Villa de alvarez,6,0,2,2,0,2,1
Chiapas,2464,18,1951,309,95,91,359
Acacoyagua,15,0,10,3,1,1,3
Acala,26,0,17,7,1,1,2
Acapetahua,21,0,15,3,1,2,1
Altamirano,18,0,17,0,1,0,8
Amatan,18,0,16,2,0,0,4
Amatenango de la Frontera,13,0,11,2,0,0,0
Amatenango del Valle,2,0,2,0,0,0,0
Angel Albino Corzo,13,0,10,2,0,1,2
Arriaga,22,0,12,4,2,4,2
Bejucal de Ocampo,3,0,2,1,0,0,0
Bella Vista,9,0,6,1,1,1,0
Berriozabal,12,0,10,2,0,0,4
Bochil,33,0,30,3,0,0,5
El Bosque,11,0,9,2,0,0,2
Cacahoatan,20,0,11,5,2,2,1
Catazaja,28,0,24,2,0,2,0
Cintalapa,74,1,58,5,6,4,7
Coapilla,9,0,9,0,0,0,0
Comitan de Dominguez,29,0,21,5,2,1,5
La Concordia,39,0,29,6,2,2,4
Copainala,15,0,9,2,1,3,0
Chalchihuitan,1,0,1,0,0,0,0
Chamula,3,0,2,0,0,1,2
Chanal,1,0,1,0,0,0,0
Chapultenango,9,0,8,1,0,0,0
Chenalho,10,0,6,0,0,4,0
Chiapa de Corzo,38,0,28,4,1,5,6
Chiapilla,1,0,1,0,0,0,1
Chicoasen,1,0,1,0,0,0,0
